Organism,Common Name,Common Name Source,Current Status,INSDC ID,ToL ID
Rutpela maculata,Not specified,NCBI_taxon,Annotation Complete,PRJEB51449,"icLepMacu4, icLepMacu5, icLepMacu2, icLepMacu1, icLepMacu3"
Cerastis rubricosa,Not specified,NCBI_taxon,Annotation Complete,PRJEB59287,"ilCerRubr3, ilCerRubr1, ilCerRubr2, ilCerRubr8, ilCerRubr6, ilCerRubr5, ilCerRubr7, ilCerRubr4"
Nymphalis io,European peacock,NCBI_taxon,Annotation Complete,PRJEB42080,"ilAglIoxx1, ilAglIoxx4, ilAglIoxx3, ilAglIoxx5, ilAglIoxx2"
Apotomis betuletana,Not specified,NCBI_taxon,Annotation Complete,PRJEB49036,"ilApoBetu5, ilApoBetu7, ilApoBetu2, ilApoBetu1, ilApoBetu6"
Apamea sordens,Not specified,NCBI_taxon,Annotation Complete,PRJEB54050,"ilApaSord1, ilApaSord2"
Pyrausta nigrata,Not specified,NCBI_taxon,Annotation Complete,PRJEB59801,ilPyrNigr1
Pyrochroa serraticornis,Not specified,NCBI_taxon,Annotation Complete,PRJEB43519,"icPyrSerr1, icPyrSerr2"
Melitaea athalia,Not specified,NCBI_taxon,Annotation Complete,PRJEB42940,"ilMelAtha1, ilMelAtha2"
Melanotus villosus,Not specified,NCBI_taxon,Annotation Complete,PRJEB60632,"icMelVill2, icMelVill1"
Omphiscola glabra,Not specified,NCBI_taxon,Annotation Complete,PRJEB73398,"xgOmpGlab1, xgOmpGlab4, xgOmpGlab3, xgOmpGlab2, xgOmpGlab5, xgOmpGlab6"
Pollenia amentaria,Not specified,NCBI_taxon,Annotation Complete,PRJEB52926,"idPolAmen2, idPolAmen1"
Pheosia tremula,Not specified,NCBI_taxon,Annotation Complete,PRJEB43526,ilPheTrem1
Rhagonycha fulva,common red soldier beetle,NCBI_taxon,Annotation Complete,PRJEB43739,"icRhaFulv1, icRhaFulv7, icRhaFulv4, icRhaFulv3, icRhaFulv6, icRhaFulv2, icRhaFulv5"
Umbilicaria deusta,peppered rock tripe,NCBI_taxon,Annotation Complete,PRJEB81837,glUmbDeus1
Eupithecia insigniata,Not specified,NCBI_taxon,Annotation Complete,PRJEB57271,ilEupInsi1
Agriphila tristella,Not specified,NCBI_taxon,Annotation Complete,PRJEB48046,"ilAgrTris3, ilAgrTris4, ilAgrTris2, ilAgrTris1"
Cantharis nigra,Not specified,NCBI_taxon,Annotation Complete,PRJEB60707,"icCanNigr3, icCanNigr1, icCanNigr2"
Netelia inedita,Not specified,NCBI_taxon,Annotation Complete,PRJEB65667,iyNetThom1
Leucania comma,Not specified,NCBI_taxon,Annotation Complete,PRJEB62566,"ilLeuComm2, ilLeuComm1"
Hedera helix,English ivy,NCBI_taxon,Annotation Complete,PRJEB47300,"drHedHeli9, drHedHeli21, drHedHeli7, drHedHeli1, drHedHeli8, drHedHeli14, drHedHeli2, drHedHeli10, drHedHeli18, drHedHeli5, drHedHeli11, drHedHeli3, drHedHeli22, drHedHeli15, drHedHeli6, drHedHeli13, drHedHeli4, drHedHeli12, drHedHeli17, drHedHeli16, drHedHeli20, drHedHeli19"
Verbena officinalis,common verbena,NCBI_taxon,Annotation Complete,PRJEB64063,daVerOffi1
Gandaritis pyraliata,Not specified,NCBI_taxon,Annotation Complete,PRJEB56797,ilGanPyra1
Linaria vulgaris,common toadflax,NCBI_taxon,Annotation Complete,PRJEB50866,daLinVulg1
Spergularia marina,saltmarsh sandspurry,NCBI_taxon,Annotation Complete,PRJEB68267,dcSpeMari1
Lactuca saligna,Not specified,NCBI_taxon,Annotation Complete,PRJEB85203,daLacSali1
Euonymus europaeus,Not specified,NCBI_taxon,Annotation Complete,PRJEB64765,"drEuoEuro2, drEuoEuro1"
Pleuronectes platessa,European plaice,NCBI_taxon,Annotation Complete,PRJEB56053,fPlePla1
Andrena bucephala,Not specified,NCBI_taxon,Annotation Complete,PRJEB55566,iyAndBuce1
Xestia castanea,Not specified,NCBI_taxon,Annotation Complete,PRJEB83540,"ilXesCast1, ilXesCast2"
Bellardia pandia,Not specified,NCBI_taxon,Annotation Complete,PRJEB45660,idBelPand1
Spilosoma urticae,Not specified,NCBI_taxon,Annotation Complete,PRJEB73652,ilSpiUrti1
Esperia sulphurella,Not specified,NCBI_taxon,Annotation Complete,PRJEB55730,"ilEspSulp2, ilEspSulp1, ilEspSulp3"
Larus fuscus,lesser black-backed gull,NCBI_taxon,Annotation Complete,PRJEB71569,"bLarFus2, bLarFus1"
Eupeodes luniger,Not specified,NCBI_taxon,Annotation Complete,PRJEB61504,"idEupLuni4, idEupLuni2, idEupLuni5, idEupLuni1, idEupLuni3"
Zeuzera pyrina,Not specified,NCBI_taxon,Annotation Complete,PRJEB44828,"ilZeuPyri3, ilZeuPyri2, ilZeuPyri1"
Lysimachia maritima,Not specified,NCBI_taxon,Annotation Complete,PRJEB89333,"ddGlaMari4, ddGlaMari7, ddGlaMari8, ddGlaMari6, ddGlaMari9, ddGlaMari5, ddGlaMari3, ddGlaMari1, ddGlaMari2, ddGlaMari10"
Schoenoplectus tabernaemontani,Not specified,NCBI_taxon,Annotation Complete,PRJEB81092,"lpSchTabe4, lpSchTabe3, lpSchTabe1, lpSchTabe2"
Agaricus bisporus,common mushroom,NCBI_taxon,Annotation Complete,PRJEB52214,gfAgaBisp1
Trichopteryx carpinata,Not specified,NCBI_taxon,Annotation Complete,PRJEB73963,"ilTriCarp6, ilTriCarp4, ilTriCarp1, ilTriCarp2, ilTriCarp3, ilTriCarp5"
Ischnura elegans,Not specified,NCBI_taxon,Annotation Complete,PRJEB46264,"ioIscEleg2, ioIscEleg3, ioIscEleg6, ioIscEleg5, ioIscEleg1, ioIscEleg4"
Pammene aurita,Not specified,NCBI_taxon,Annotation Complete,PRJEB55028,ilPamAuri1
Hylaea fasciaria,Not specified,NCBI_taxon,Annotation Complete,PRJEB42094,"ilHylFasc2, ilHylFasc1"
Hyppa rectilinea,Not specified,NCBI_taxon,Annotation Complete,PRJEB61344,ilHypRect1
Hedya pruniana,Not specified,NCBI_taxon,Annotation Complete,PRJEB75063,"ilHedPrun2, ilHedPrun4, ilHedPrun1, ilHedPrun3"
