accession	scientific_name	tax_id
PX427690	Magnolia fordiana var. calcarea	2079597
PV600630	Evacanthus stigmatus	1978016
KF460436	Protobothrops xiangchengensis	313189
MF872228	Trachypithecus pileatus	164651
MF872230	Trachypithecus hatinhensis	867383
MF872232	Trachypithecus delacouri	465717
MK426281	Sicyopterus aiensis	325683
AF133701	Salmo salar	8030
AF346997	Homo sapiens	9606
AF346999	Homo sapiens	9606
AF347004	Homo sapiens	9606
AF348079	Echinosorex gymnura	162630
AF538716	Brugia malayi	6279
AY075116	Dugong dugon	29137
AY163547	Varroa destructor	109461
AY463155	Dermatobia hominis	115427
AY500368	Dictyota dichotoma	2876
AY863426	Chlorocebus aethiops	9534
DQ316068	Elephas maximus	9783
DQ333815	Batrachuperus pinchonii	156988
DQ355300	Rhinopithecus roxellana	61622
DQ645538	Zea perennis	4580
DQ780880	Falco sparverius	56350
DQ984518	Sorghum bicolor	4558
DQ991931	Chromodoris magnifica	262608
EF204913	Pleurotus ostreatus	5322
EF466060	Ammotragus lervia	9899
EF532934	Porphyrio hochstetteri	439704
EU068697	Dosidicus gigas	346249
EU137664	Deracantha onos	441219
EU237483	Halisarca dujardinii	2583056
EU237490	Xestospongia muta	178552
EU263919	Atractomorpha sinensis	244711
EU327344	Ursus spelaeus	39097
EU332749	Pungitius kaibarae	300318
EU332751	Cottus hangiongensis	290628
EU557091	Sousa chinensis	103600
EU557094	Delphinus capensis	103584
EU557095	Grampus griseus	83653
EU725864	Hemiphaga novaeseelandiae	262124
EU747728	Anolis carolinensis	28377
FJ006534	Budorcas taxicolor	37181
FJ168563	Leucocytozoon majoris	379413
FJ211845	Gillichthys mirabilis	8222
FJ360694	Sivaloka damnosus	568780
FJ469673	Naemorhedus caudatus	37173
FJ769841	Balearica regulorum	925459
FJ986223	Apostichopus japonicus	307972
GQ888713	Cooperia oncophora	27828
GU047878	Dendronephthya suensoni	151773
GU370125	Oreochromis aureus	47969
HM045017	Bison bonasus	9902
HM204705	Spilonota lechriaspis	768146
HM488008	Crocodylus johnstoni	184234
HM590866	Scylla serrata	6761
HQ335347	Anopheles deaneorum	58243
HQ890328	Anser fabalis	132587
JF293095	Simias concolor	170207
