ORGANISM_KEY	TAXON_VERSION_KEY	Phylum	Subphylum	Class	Order	Family	Genus	species	Taxon
NBNORG0000043835	NBNSYS0100009737	Annelida		Branchiobdellea	Branchiobdellida	Branchiobdellidae	Branchiobdella	astaci	Branchiobdella astaci
NBNORG0000049324	NHMSYS0000068878	Annelida		Clitellata	Arhynchobdellida	Erpobdellidae	Dina	lineata	Dina lineata
NBNORG0000017092	NBNSYS0000022374	Annelida		Clitellata	Arhynchobdellida	Erpobdellidae	Erpobdella	octoculata	Erpobdella octoculata
NBNORG0000049325	NHMSYS0000068879	Annelida		Clitellata	Arhynchobdellida	Erpobdellidae	Erpobdella	testacea	Erpobdella testacea
NBNORG0000017094	NHMSYS0021048739	Annelida		Clitellata	Arhynchobdellida	Erpobdellidae	Trocheta	bykowskii	Trocheta bykowskii
NBNORG0000116780	NHMSYS0021130755	Annelida		Clitellata	Arhynchobdellida	Erpobdellidae	Trocheta	pseudodina	Trocheta pseudodina
NBNORG0000017093	NBNSYS0000022376	Annelida		Clitellata	Arhynchobdellida	Erpobdellidae	Trocheta	subviridis	Trocheta subviridis
NBNORG0000017090	NBNSYS0000022371	Annelida		Clitellata	Arhynchobdellida	Haemopidae	Haemopis	sanguisuga	Haemopis sanguisuga
NBNORG0000017091	NBNSYS0000022372	Annelida		Clitellata	Arhynchobdellida	Hirudinidae	Hirudo	medicinalis	Hirudo medicinalis
NBNORG0000105574	NHMSYS0020926713	Annelida		Clitellata	Enchytraeida	Enchytraeidae	Buchholzia	fallax	Buchholzia fallax
NBNORG0000043888	NBNSYS0100009949	Annelida		Clitellata	Enchytraeida	Enchytraeidae	Cernosvitoviella	atrata	Cernosvitoviella atrata
NBNORG0000033785	NBNSYS0000180294	Annelida		Clitellata	Enchytraeida	Enchytraeidae	Cernosvitoviella	immota	Cernosvitoviella immota
NBNORG0000043912	NBNSYS0100010383	Annelida		Clitellata	Enchytraeida	Enchytraeidae	Cognettia	cognetti	Cognettia cognetti
NBNORG0000034062	NBNSYS0000180650	Annelida		Clitellata	Enchytraeida	Enchytraeidae	Cognettia	glandulosa	Cognettia glandulosa
