For further details, refer to the Master List sheet.	Recommended_taxon_name	Recommended_authority	Recommended_qualifier	Recommended_taxon_version	A: Bern Convention	C: Birds Directive	C1: Convention on Migratory Species	C2: OSPAR	D: Habitats Directive	E: EC Cites	F: Global Red list status	Fa: Red Listing based on pre 1994 IUCN guidelines	Fb: Red Listing based on 1994 IUCN guidelines	Fc: Red listing based on 2001 IUCN guidelines	Fd: Red data categories  - birds (not based on IUCN criteria)	Fe: Red data categories - Spiders (not based on IUCN criteria)	Ga: Rare and scarce species	Gb: Rare and scarce species (not based on IUCN criteria)	Ha: Biodiversity Action Plan UK list of priority species	Hb: Biodiversity Lists - England	Hc: Biodiversity Lists - Scotland	Hd: Biodiversity Lists - Wales	He: Biodiversity Lists - Northern Ireland	I: Wildlife and Countryside Act 1981	J: The Wildlife (Northern Ireland) Order 1985	K: The Conservation of Habitats and Species Regulations 2010	L: The Conservation (Nature Habitats, etc_) Regulations (NI) 199	M: Protection of Badgers Act	included_tvk_list
acorn worm (Hemichordata)	Glossobalanus sarniensis	Koehler, 1886		NHMSYS0021054473																			NI_Priority						NHMSYS0021054473
alga	Actinotaenium adelochondrum	(Elfving) Teiling, 1954		NHMSYS0000599827																	Scottish_Biodiversity_List								NHMSYS0000599827
alga	Actinotaenium clevei	(P.Lundell) Teiling		NHMSYS0000599829																	Scottish_Biodiversity_List								NHMSYS0000599829
alga	Actinotaenium colpopelta	(Bréb.) Compère		NHMSYS0000599831																	Scottish_Biodiversity_List								NHMSYS0000599831
alga	Actinotaenium cucurbitinum	(Bisset) Teiling		NHMSYS0000599835																	Scottish_Biodiversity_List								NHMSYS0000599835
alga	Actinotaenium curtum	(Bréb.) Teiling ex Růžička et Pouzar		NHMSYS0000599836																	Scottish_Biodiversity_List								NHMSYS0000599836
alga	Actinotaenium gelidum	(Wittr.) Růžička et Pouzar		NHMSYS0000599838																	Scottish_Biodiversity_List								NHMSYS0000599838
alga	Actinotaenium perminutum	(G.S.West) Teiling		NHMSYS0000599847																	Scottish_Biodiversity_List								NHMSYS0000599847
alga	Actinotaenium rufescens	(Cleve) Teiling		NHMSYS0000599849																	Scottish_Biodiversity_List								NHMSYS0000599849
alga	Actinotaenium silvae-nigrae	(Rabanus) Kouwets et Coesel		NHMSYS0000599850																	Scottish_Biodiversity_List								NHMSYS0000599850
