2026-01-24 22:53:48,667 - INFO - Starting JNCC annotation (v2 - using included_tvk_list)
2026-01-24 22:53:48,667 - INFO - UKSI input file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\uksi_valid_species_output.tsv
2026-01-24 22:53:48,667 - INFO - JNCC input file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\20231206_jncc_conservation_designations_taxon_uksi_mapped.tsv
2026-01-24 22:53:48,668 - INFO - Output file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\uksi_valid_species_jncc_annotated.tsv
2026-01-24 22:53:48,668 - INFO - Log file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\uksi_jncc_annotation.log
2026-01-24 22:53:48,669 - INFO - Loading JNCC conservation designations...
2026-01-24 22:53:48,770 - INFO - Loaded 15725 unique TVKs from JNCC file (from 14395 rows)
2026-01-24 22:53:48,770 - INFO - Processing UKSI species file...
2026-01-24 22:53:48,816 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0021813346: rows ['13921', '13922']
2026-01-24 22:53:48,818 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0100003893: rows ['13926', '13927']
2026-01-24 22:53:48,852 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000008561: rows ['1187', '1188', '1189']
2026-01-24 22:53:48,884 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0001718525: rows ['5713', '5714']
2026-01-24 22:53:48,892 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000007757: rows ['6211', '6213']
2026-01-24 22:53:48,995 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0021819046: rows ['9649', '9650']
2026-01-24 22:53:49,137 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000520663: rows ['8160', '8161']
2026-01-24 22:53:49,137 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000520668: rows ['8163', '8164']
2026-01-24 22:53:49,137 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000520673: rows ['8165', '8166']
2026-01-24 22:53:49,138 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000520678: rows ['8167', '8168']
2026-01-24 22:53:49,138 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000550499: rows ['7103', '7104']
2026-01-24 22:53:49,141 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000516340: rows ['7105', '7106']
2026-01-24 22:53:49,153 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000520883: rows ['7993', '7994']
2026-01-24 22:53:49,154 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000520043: rows ['7924', '7925']
2026-01-24 22:53:49,155 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000522437: rows ['8062', '8063']
2026-01-24 22:53:49,156 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000520553: rows ['7972', '7973']
2026-01-24 22:53:49,157 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000006139: rows ['7869', '7870']
2026-01-24 22:53:49,160 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000523349: rows ['8154', '8155']
2026-01-24 22:53:49,160 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000520248: rows ['7943', '7944']
2026-01-24 22:53:49,161 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000520468: rows ['7965', '7966']
2026-01-24 22:53:49,161 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000520843: rows ['7989', '7990']
2026-01-24 22:53:49,161 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000100174: rows ['8068', '8069']
2026-01-24 22:53:49,177 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000544611: rows ['811', '812']
2026-01-24 22:53:49,178 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000188612: rows ['850', '851']
2026-01-24 22:53:49,182 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0020755076: rows ['841', '842']
2026-01-24 22:53:49,184 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0020193672: rows ['855', '856']
2026-01-24 22:53:49,184 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000040792: rows ['855', '857']
2026-01-24 22:53:49,185 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530293: rows ['443', '444']
2026-01-24 22:53:49,185 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530294: rows ['443', '445']
