For further details, refer to the Master List sheet.	Recommended_taxon_name	Recommended_authority	Recommended_qualifier	Recommended_taxon_version	A: Bern Convention	C: Birds Directive	C1: Convention on Migratory Species	C2: OSPAR	D: Habitats Directive	E: EC Cites	F: Global Red list status	Fa: Red Listing based on pre 1994 IUCN guidelines	Fb: Red Listing based on 1994 IUCN guidelines	Fc: Red listing based on 2001 IUCN guidelines	Fd: Red data categories  - birds (not based on IUCN criteria)	Fe: Red data categories - Spiders (not based on IUCN criteria)	Ga: Rare and scarce species	Gb: Rare and scarce species (not based on IUCN criteria)	Ha: Biodiversity Action Plan UK list of priority species	Hb: Biodiversity Lists - England	Hc: Biodiversity Lists - Scotland	Hd: Biodiversity Lists - Wales	He: Biodiversity Lists - Northern Ireland	I: Wildlife and Countryside Act 1981	J: The Wildlife (Northern Ireland) Order 1985	K: The Conservation of Habitats and Species Regulations 2010	L: The Conservation (Nature Habitats, etc_) Regulations (NI) 199	M: Protection of Badgers Act
acorn worm (Hemichordata)	Glossobalanus sarniensis	Koehler, 1886		NHMSYS0021054473																			NI_Priority					
alga	Actinotaenium adelochondrum	(Elfving) Teiling, 1954		NHMSYS0000599827																	Scottish_Biodiversity_List							
alga	Actinotaenium clevei	(P.Lundell) Teiling		NHMSYS0000599829																	Scottish_Biodiversity_List							
alga	Actinotaenium colpopelta	(Bréb.) Compère		NHMSYS0000599831																	Scottish_Biodiversity_List							
alga	Actinotaenium cucurbitinum	(Bisset) Teiling		NHMSYS0000599835																	Scottish_Biodiversity_List							
alga	Actinotaenium curtum	(Bréb.) Teiling ex Růžička et Pouzar		NHMSYS0000599836																	Scottish_Biodiversity_List							
alga	Actinotaenium gelidum	(Wittr.) Růžička et Pouzar		NHMSYS0000599838																	Scottish_Biodiversity_List							
alga	Actinotaenium perminutum	(G.S.West) Teiling		NHMSYS0000599847																	Scottish_Biodiversity_List							
alga	Actinotaenium rufescens	(Cleve) Teiling		NHMSYS0000599849																	Scottish_Biodiversity_List							
alga	Actinotaenium silvae-nigrae	(Rabanus) Kouwets et Coesel		NHMSYS0000599850																	Scottish_Biodiversity_List							
alga	Actinotaenium turgidum	(Bréb.) Teiling		NHMSYS0000599856																	Scottish_Biodiversity_List							
alga	Aglaothamnion diaphanum	L'Hardy-Halos & Maggs, 1991		NHMSYS0021059745														Marine-NR										
alga	Aglaothamnion priceanum	Maggs, Guiry & Rueness, 1991		NHMSYS0021059750														Marine-NR										
alga	Ahnfeltiopsis devoniensis	(Greville) P.C.Silva & DeCew, 1992		NHMSYS0021060181																			NI_Priority					
alga	Anotrichium barbatum	(C.Agardh) Nägeli, 1862		NHMSYS0021060021														Marine-NR	BAP-2007	England_NERC_S.41		Env (Wales) Act S7						
alga	Batrachospermum gelatinosum forma spermatoinvolucrum	Vis et Sheath, 1998		NHMSYS0000600173																	Scottish_Biodiversity_List							
alga	Bornetia secundiflora	(J.Agardh) Thuret, 1855		NHMSYS0021059779														Marine-NR										
alga	Cladophora battersii	Hoek, 1963		NHMSYS0021059212														Marine-NR										
alga	Closterium anguineum	D.B.Will.		NHMSYS0000600885																	Scottish_Biodiversity_List							
alga	Closterium archerianum	Cleve		NHMSYS0000600890																	Scottish_Biodiversity_List							
alga	Closterium calosporum	Wittr.		NHMSYS0000600898																	Scottish_Biodiversity_List							
alga	Closterium didymotocum	(Corda) Ralfs		NHMSYS0000600921																	Scottish_Biodiversity_List							
alga	Closterium limneticum	Lemmerm.		NHMSYS0000600963																	Scottish_Biodiversity_List							
alga	Closterium lineatum	Ralfs		NHMSYS0000600966																	Scottish_Biodiversity_List							
alga	Closterium navicula	(Bréb.) Lütkem.		NHMSYS0000600979																	Scottish_Biodiversity_List							
alga	Closterium nematodes	W. Joshua		NHMSYS0020703521																	Scottish_Biodiversity_List							
alga	Closterium pritchardianum	W.Archer		NHMSYS0000600999																	Scottish_Biodiversity_List							
alga	Closterium pygmaeum	Gutw.		NHMSYS0000524443																	Scottish_Biodiversity_List							
alga	Closterium subscoticum	Gutw.		NHMSYS0000601028																	Scottish_Biodiversity_List							
alga	Closterium toxon	W.West		NHMSYS0000601031																	Scottish_Biodiversity_List							
alga	Codium adhaerens	C.Agardh, 1822		NHMSYS0021059174																	Scottish_Biodiversity_List							
alga	Codium bursa	(Olivi) C.Agardh, 1817		NHMSYS0021059175																	Scottish_Biodiversity_List							
alga	Coelastropsis costata	(Korshikov) Fott et Kalina		NHMSYS0000601081																	Scottish_Biodiversity_List							
alga	Cosmarium alpestre	J.Roy et Bisset		NHMSYS0000601200																	Scottish_Biodiversity_List							
alga	Cosmarium binum	Nordst.		NHMSYS0000601224																	Scottish_Biodiversity_List							
alga	Cosmarium bioculatum	Ralfs		NHMSYS0000601225																	Scottish_Biodiversity_List							
alga	Cosmarium carinthiacum	Lütkem.		NHMSYS0000601260																	Scottish_Biodiversity_List							
