Taxon	Row	original_taxon	Vernacular	Family	Order	SQS	Conservation status	Current conservation status	Designation summary	Larval feeding guild	Adult feeding guild	Broad biotope	Habitat	Resources	Specific assemblage type	Habitat score	Associations	Genus	subgenus	species	subspecies	TAXON_VERSION_KEY	RECOMMENDED_TAXON_VERSION_KEY	NAME_STATUS	MATCHED_ON
Abax parallelepipedus	6903	Abax parallelepipedus		Carabidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	shaded woodland floor	shaded woodland floor	habitats >> sward/field layer, humidity >> damp, soil humidity >> damp, tree-associated >> shaded woodland floor				Abax		parallelepipedus		NBNSYS0000007302	NBNSYS0000007302	R	Taxon
Abax parallelus	10113	Abax parallelus		Carabidae	Coleoptera	1												Abax		parallelus		NBNSYS0000007303	NBNSYS0000007303	R	Taxon
Abdera affinis	822	Abdera affinis		Melandryidae	Coleoptera	32	RE	RE	IUCN Threat listing (1)	fungivore	fungivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, fungal fruiting bodies	A213		Betula	Abdera		affinis		NBNSYS0000024888	NBNSYS0000024888	R	Taxon
Abdera biflexuosa	823	Abdera biflexuosa		Melandryidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	fungivore	fungivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, dead trunks & branches >> aerial branches	A212	IEC: 1, IEC (older version): 1	Quercus	Abdera		biflexuosa		NBNSYS0000024889	NBNSYS0000024889	R	Taxon
Abdera flexuosa	824	Abdera flexuosa		Melandryidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	fungivore	fungivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, fungal fruiting bodies	A213		Alnus, Betula, Salix	Abdera		flexuosa		NBNSYS0000024890	NBNSYS0000024890	R	Taxon
Abdera quadrifasciata	825	Abdera quadrifasciata		Melandryidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	fungivore	fungivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, dead trunks & branches >> aerial branches	A212	IEC: 3, IEC (older version): 3	Quercus	Abdera		quadrifasciata		NBNSYS0000024891	NBNSYS0000024891	R	Taxon
Abida secale	2480	Abida secale	Large Chrysalis Snail	Chondrinidae	Pulmonata	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	herbivore	herbivore	open habitats	short sward & bare ground	habitats >> litter & ground layer	F112		Fagales	Abida		secale		NBNSYS0000006678	NBNSYS0000006678	R	Taxon
Ablattaria laevigata	7492	Ablattaria laevigata		Silphidae	Coleoptera	1				predator	predator	open habitats	short sward & bare ground	habitats >> litter & ground layer, soil humidity >> dry		calcareous grassland: Moderate		Ablattaria		laevigata		NHMSYS0021366624	NHMSYS0021366624	R	Taxon
Abraeus granulum	7334	Abraeus granulum		Histeridae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, decaying wood >> moist white rot, heartrot >> woodmould, wet hollows >> rot hole detritus	A211	IEC: 3, IEC (older version): 3	Fagales	Abraeus		granulum		NBNSYS0000022820	NBNSYS0000022820	R	Taxon
Abraeus perpusillus	7335	Abraeus perpusillus		Histeridae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, decaying wood >> moist white rot, heartrot >> woodmould, wet hollows >> rot hole detritus	A211		Fagales	Abraeus		perpusillus		NHMSYS0001716357	NHMSYS0001716357	R	Taxon
Abraxas grossulariata	4244	Abraxas grossulariata	Magpie Moth	Geometridae	Lepidoptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only			Asteraceae, Fagales	Abraxas		grossulariata		NBNSYS0000005975	NBNSYS0000005975	R	Taxon
Abraxas pantaria	4245	Abraxas pantaria	Light Magpie	Geometridae	Lepidoptera	1				herbivore	nectivore							Abraxas		pantaria		NBNSYS0000005977	NBNSYS0000005977	R	Taxon
Abraxas sylvata	4246	Abraxas sylvata	Clouded Magpie	Geometridae	Lepidoptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	tree-associated	arboreal	canopy >> mature tree canopy, conifer or broadleaved >> broadleaved only			Ulmus glabra	Abraxas		sylvata		NBNSYS0000005976	NBNSYS0000005976	R	Taxon
Abrostola tripartita	4720	Abrostola tripartita	Spectacle	Noctuidae	Lepidoptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> damp			Urtica dioica	Abrostola		tripartita		NBNSYS0100001391	NBNSYS0100001391	R	Taxon
