Row	original_taxon	Vernacular	Family	Order	SQS	Conservation status	Current conservation status	Designation summary	Larval feeding guild	Adult feeding guild	Broad biotope	Habitat	Resources	Specific assemblage type	Habitat score	Associations	Genus	subgenus	species	subspecies	Taxon
1	Bledius annae		Staphylinidae	Coleoptera	1				algivore	algivore	wetland	running water	exposed riverine sediments >> riparian sand, seepages >> unshaded seepage	W122	ERS (Coleoptera): 1		Bledius		annae		Bledius annae
2	Bledius arcticus		Staphylinidae	Coleoptera	4	RDB I	[Threat]	[IUCN Threat listing] (1)	algivore	algivore	wetland	running water	exposed riverine sediments >> riparian shingle	W111	ERS (Coleoptera): 1	Algae	Bledius		arcticus		Bledius arcticus
3	Bledius atricapillus		Staphylinidae	Coleoptera	1				algivore	algivore	wetland	running water	exposed riverine sediments >> riparian sand, seepages >> unshaded seepage	W122			Bledius		atricapillus		Bledius atricapillus
4	Bledius atricapillus		Staphylinidae	Coleoptera	1				algivore	algivore	coastal	sandy beach					Bledius		atricapillus		Bledius atricapillus
5	Bledius bicornis		Staphylinidae	Coleoptera	4	[Na]	[Scarce]	[GB Rarity listing] (1)	algivore	algivore	coastal	saltmarsh	saline silt		Wadensee Saltmarsh fidelity index: hal-1		Bledius		bicornis		Bledius bicornis
6	Bledius crassicollis		Staphylinidae	Coleoptera	4	RDB I	[Threat]	[IUCN Threat listing] (1)	algivore	algivore	wetland	running water	exposed riverine sediments >> riparian sand, seepages >> soft rock cliff seepage, seepages >> unshaded seepage	W122	seepage (soft rock cliff): A, soft rock cliff: 1		Bledius		crassicollis		Bledius crassicollis
7	Bledius defensus		Staphylinidae	Coleoptera	4	RDB K	[Threat]	[IUCN Threat listing] (1)	algivore	algivore	wetland	running water	exposed riverine sediments >> riparian sand, seepages >> shaded seepage	W122	ERS (Coleoptera): 1		Bledius		defensus		Bledius defensus
8	Bledius diota		Staphylinidae	Coleoptera	4	RDB K	[Threat]	[IUCN Threat listing] (1)	algivore	algivore	coastal	saltmarsh	saline silt				Bledius		diota		Bledius diota
9	Bledius dissimilis		Staphylinidae	Coleoptera	4	RDB I	[Threat]	[IUCN Threat listing] (1)	algivore	algivore	wetland	running water	exposed riverine sediments >> riparian sand, seepages >> soft rock cliff seepage, seepages >> unshaded seepage	W122	seepage (soft rock cliff): B, soft rock cliff: 2		Bledius		dissimilis		Bledius dissimilis
10	Bledius erraticus		Staphylinidae	Coleoptera	4	RDB K	[Threat]	[IUCN Threat listing] (1)	algivore	algivore	wetland	running water	exposed riverine sediments >> riparian sand, seepages >> unshaded seepage	W122	ERS (Coleoptera): 2		Bledius		erraticus		Bledius erraticus
11	Bledius fergussoni		Staphylinidae	Coleoptera	1				algivore	algivore	coastal	brackish pools & ditches; saltmarsh; sandy beach	pond/seepage edge, saline silt				Bledius		fergussoni		Bledius fergussoni
12	Bledius filipes		Staphylinidae	Coleoptera	16	RDB 1	[Threat]	[IUCN Threat listing] (1)	algivore	algivore	wetland	running water	exposed riverine sediments >> riparian sand, seepages >> soft rock cliff seepage, seepages >> unshaded seepage	W122	seepage (soft rock cliff): A, soft rock cliff: 1		Bledius		filipes		Bledius filipes
13	Bledius fuscipes		Staphylinidae	Coleoptera	1				algivore	algivore	coastal	saltmarsh	saline silt				Bledius		fuscipes		Bledius fuscipes
14	Bledius gallicus		Staphylinidae	Coleoptera	1				algivore	algivore	wetland	running water	exposed riverine sediments >> riparian sand, seepages >> unshaded seepage			Algae	Bledius		gallicus		Bledius gallicus
15	Bledius longulus		Staphylinidae	Coleoptera	1				algivore	algivore	wetland	running water	exposed riverine sediments >> riparian sand, seepages >> unshaded seepage				Bledius		longulus		Bledius longulus
16	Bledius occidentalis		Staphylinidae	Coleoptera	4	RDB K	[Threat]	[IUCN Threat listing] (1)	algivore	algivore	wetland	running water	exposed riverine sediments >> riparian sand, seepages >> soft rock cliff seepage, seepages >> unshaded seepage	W122	seepage (soft rock cliff): C		Bledius		occidentalis		Bledius occidentalis
17	Bledius opacus		Staphylinidae	Coleoptera	1				algivore	algivore	wetland	running water	exposed riverine sediments >> riparian sand		Wadensee Saltmarsh fidelity index: hal-2-3		Bledius		opacus		Bledius opacus
18	Bledius spectabilis		Staphylinidae	Coleoptera	1				algivore	algivore	coastal	saltmarsh	saline silt		Wadensee Saltmarsh fidelity index: hal-1		Bledius		spectabilis		Bledius spectabilis
19	Bledius spectabilis		Staphylinidae	Coleoptera	1				algivore	algivore	coastal	saltmarsh	saline silt			Algae	Bledius		spectabilis		Bledius spectabilis
20	Bledius subniger		Staphylinidae	Coleoptera	1				algivore	algivore	coastal	saltmarsh	saline silt				Bledius		subniger		Bledius subniger
21	Bledius subterraneus		Staphylinidae	Coleoptera	1				algivore	algivore	wetland	running water	exposed riverine sediments >> riparian sand		ERS (Coleoptera): 2		Bledius		subterraneus		Bledius subterraneus
22	Bledius terebrans		Staphylinidae	Coleoptera	4	RDB K	[Threat]	[IUCN Threat listing] (1)	algivore	algivore	wetland	running water	exposed riverine sediments >> riparian sand, seepages	W122	ERS (Coleoptera): 2		Bledius		terebrans		Bledius terebrans
23	Bledius tricornis		Staphylinidae	Coleoptera	4	Nb	[Scarce]	[GB Rarity listing] (1)	algivore	algivore	coastal	saltmarsh	saline silt		seepage (soft rock cliff): C, Wadensee Saltmarsh fidelity index: hal-1-2		Bledius		tricornis		Bledius tricornis
24	Bledius unicornis		Staphylinidae	Coleoptera	1				algivore	algivore	coastal	saltmarsh	saline silt				Bledius		unicornis		Bledius unicornis
25	Silba fumosa		Lonchaeidae	Diptera	1				saprophagous	cleptoparasite	open habitats; tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, shadiness >> light shade, woodland habitat				Silba		fumosa		Silba fumosa
26	Ammoecius brevis		Scarabaeidae	Coleoptera	32	CR(PE); NR	CR(PE); Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)	coprophagous	coprophagous	open habitats	short sward & bare ground	dung & carrion >> dung, soil humidity >> dry	F111			Ammoecius		brevis		Ammoecius brevis
27	Onthophagus similis		Scarabaeidae	Coleoptera	1		LC	IUCN Threat listing (1)	coprophagous	coprophagous	open habitats	tall sward & scrub	dung & carrion >> dung				Onthophagus		similis		Onthophagus similis
28	Atheta aegra		Staphylinidae	Coleoptera	4	Notable	[Scarce]	[GB Rarity listing] (1)	coprophagous	coprophagous	open habitats	tall sward & scrub	dung & carrion, soil humidity >> variable humidity				Atheta		aegra		Atheta aegra
