row	taxon_name	scientificName	key	matchType	confidence	status	rank	kingdom	phylum	class	order	family	genus	species	original list	synonyms
1	Acalolepta sejuncta	Acalolepta sejuncta Bates, 1873	6268033	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae	Acalolepta	Acalolepta sejuncta	species	
2	Acanthonevra amamioshimaensis	Acanthoneura amamioshimaensis Shiraki, 1968	5086693	FUZZY	84	SYNONYM	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acanthonevra	Acanthonevra formosana	genus	
3	Acanthonevra amurensis	Acanthonevra amurensis (Portschinsky, 1891)	1622832	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acanthonevra	Acanthonevra amurensis	genus	
4	Acanthonevra desperata	Acanthonevra desperata (Hering, 1939)	1622804	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acanthonevra	Acanthonevra desperata	genus	
5	Acanthonevra dunlopi	Acanthonevra dunlopi (Wulp, 1880)	1622871	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acanthonevra	Acanthonevra dunlopi	species	
6	Acanthonevra fuscipennis	Acanthonevra fuscipennis Macquart, 1844	1622836	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acanthonevra	Acanthonevra fuscipennis	genus	
7	Acanthonevra incerta	Acanthonevra incerta Hardy, 1986	1622870	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acanthonevra	Acanthonevra incerta	genus	
8	Acanthonevra inermis	Acanthonevra inermis (Hering, 1951)	1622880	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acanthonevra	Acanthonevra inermis	genus	
9	Acanthonevra melanopleura	Acanthonevra melanopleura (Hering, 1951)	1622821	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acanthonevra	Acanthonevra melanopleura	genus	
10	Acanthonevra nigrifacies	Acanthonevra nigrifacies (Meijere, 1914)	1622829	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acanthonevra	Acanthonevra nigrifacies	genus	
11	Acanthonevra nigrolimbata	Acanthonevra nigrolimbata (Chen & Zia, 1963)	1622841	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acanthonevra	Acanthonevra nigrolimbata	genus	
12	Acanthonevra pteropleuralis	Acanthonevra pteropleuralis (Hendel, 1927)	1622827	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acanthonevra	Acanthonevra pteropleuralis	genus	
13	Acanthonevra siamensis	Acanthonevra siamensis Hardy, 1973	1622839	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acanthonevra	Acanthonevra siamensis	genus	
14	Acanthonevra soluta	Acanthonevra soluta (Bezzi, 1913)	1622858	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acanthonevra	Acanthonevra soluta	genus	
15	Acanthonevra speciosa	Acanthonevra speciosa (Hendel, 1915)	1622812	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acanthonevra	Acanthonevra speciosa	genus	
