organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	taxon_name	taxon_authority	taxon_rank	synonyms	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag	freshbase	ukceh_freshwater_list	pantheon_sqs	pantheon_conservation_status	pantheon_current_conservation_status	pantheon_designation_summary	pantheon_larval_feeding_guild	pantheon_adult_feeding_guild	pantheon_broad_biotope	pantheon_habitat	pantheon_resources	pantheon_specific_assemblage_type	pantheon_habitat_score	pantheon_associations	jncc_a: bern convention	jncc_c: birds directive	jncc_c1: convention on migratory species	jncc_c2: ospar	jncc_d: habitats directive	jncc_e: ec cites	jncc_f: global red list status	jncc_fa: red listing based on pre 1994 iucn guidelines	jncc_fb: red listing based on 1994 iucn guidelines	jncc_fc: red listing based on 2001 iucn guidelines	jncc_fd: red data categories  - birds (not based on iucn criteria)	jncc_fe: red data categories - spiders (not based on iucn criteria)	jncc_ga: rare and scarce species	jncc_gb: rare and scarce species (not based on iucn criteria)	jncc_ha: biodiversity action plan uk list of priority species	jncc_hb: biodiversity lists - england	jncc_hc: biodiversity lists - scotland	jncc_hd: biodiversity lists - wales	jncc_he: biodiversity lists - northern ireland	jncc_i: wildlife and countryside act 1981	jncc_j: the wildlife (northern ireland) order 1985	jncc_k: the conservation of habitats and species regulations 2010	jncc_l: the conservation (nature habitats, etc_) regulations (ni) 199	jncc_m: protection of badgers act
NBNORG0000018702	NBNSYS0000027317	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Ablabesmyia	Ablabesmyia longistyla	Fittkau, 1962	Species			Y	Y		Y	Y																																				
NBNORG0000018703	NBNSYS0000027318	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Ablabesmyia	Ablabesmyia monilis	(Linnaeus, 1758)	Species	Ablabesmyia maculata;Tipula maculata;Tipula monilis		Y	Y		Y	Y																																				
NBNORG0000018704	NBNSYS0000027319	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Ablabesmyia	Ablabesmyia phatta	(Egger, 1863)	Species	Tanypus phatta		Y	Y		Y	Y																																				
NBNORG0000041014	NBNSYS0100001393	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Acamptocladius	Acamptocladius reissi	Cranston & Saether, 1981	Species			Y	Y		Y	Y																																				
NBNORG0000018821	NBNSYS0000027463	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Acamptocladius	Acamptocladius submontanus	(Edwards, 1932)	Species	Spaniotoma submontanus		Y	Y		Y	Y																																				
NBNORG0000021088	NBNSYS0000030395	Animalia	Arthropoda	Insecta	Diptera	Scathophagidae	Acanthocnema	Acanthocnema glaucescens	(Loew, 1864)	Species	Cordylura glaucescens		Y	Y		Y	Y	4	Notable	[Scarce]	[GB Rarity listing] (1)	predator		wetland	running water		W113		Trichoptera														Notable										
NBNORG0000021087	NBNSYS0000030394	Animalia	Arthropoda	Insecta	Diptera	Scathophagidae	Acanthocnema	Acanthocnema nigrimana	(Zetterstedt, 1846)	Species	Cordylura nigrimana		Y	Y		Y	Y	8	RDB 3	[Rare]	[GB Rarity listing] (1)	predator		wetland	running water				Trichoptera								RedList_GB_Pre94-R																
NBNORG0000085502	NHMSYS0001593149	Animalia	Arthropoda	Maxillopoda	Cyclopoida	Cyclopidae	Acanthocyclops	Acanthocyclops robustus	Sars, 1863	Species	Acanthocyclops robustus subsp. robustus		Y	Y		Y	Y																																				
NBNORG0000085504	NHMSYS0001593151	Animalia	Arthropoda	Maxillopoda	Cyclopoida	Cyclopidae	Acanthocyclops	Acanthocyclops sensitivus	(Graeter & Chappuis, 1914)	Species	Cyclops sensitivus		Y	Y		Y	Y																																				
NBNORG0000085505	NHMSYS0001593152	Animalia	Arthropoda	Maxillopoda	Cyclopoida	Cyclopidae	Acanthocyclops	Acanthocyclops venustus	(Norman & Scott, 1906)	Species	Acanthocyclops venustus subsp. venustus;Cyclops venustus		Y	Y		Y	Y																																				
NBNORG0000085507	NHMSYS0001593154	Animalia	Arthropoda	Maxillopoda	Cyclopoida	Cyclopidae	Acanthocyclops	Acanthocyclops vernalis	(Fischer, 1853)	Species	Cyclops vernalis		Y	Y		Y	Y																																				
NBNORG0000085509	NHMSYS0001593156	Animalia	Arthropoda	Branchiopoda	Diplostraca	Acantholeberidae	Acantholeberis	Acantholeberis curvirostris	(O. F. Müller, 1776)	Species	Daphne curvirostris		Y	Y		Y	Y																																				
NBNORG0000085511	NHMSYS0001593159	Animalia	Arthropoda	Maxillopoda	Calanoida	Acartiidae	Acartia	Acartia (Acanthacartia) bifilosa	(Giesbrecht, 1881)	Species	Acanthacartia bifilosa;Acartia (Acanthacartia) bifilosa subsp. bifilosa;Acartia bifilosa;Dias bifilosa		Y	Y	Y	Y	Y																																				
NBNORG0000029249	NHMSYS0021050853	Animalia	Arthropoda	Maxillopoda	Calanoida	Acartiidae	Acartia	Acartia (Acartiura) clausi	Giesbrecht, 1889	Species	Acartia clausi;Acartia clausii;Acartiura clausi		Y	Y	Y	Y	Y																																				
NBNORG0000085514	NHMSYS0001593162	Animalia	Arthropoda	Maxillopoda	Calanoida	Acartiidae	Acartia	Acartia (Acartiura) discaudata	(Giesbrecht, 1881)	Species	Acartia discaudata;Acartiura discaudata;Dias discaudata		Y	Y	Y	Y	Y																																				
NBNORG0000057240	NHMSYS0021143779	Animalia	Arthropoda	Insecta	Lepidoptera	Crambidae	Acentria	Acentria ephemerella	([Denis & Schiffermüller], 1775)	Species	Acentria nivea		Y	Y		Y	Y	1				herbivore	nectivore						Elodea canadensis																								
NBNORG0000012789	NBNSYS0000012748	Animalia	Arthropoda	Insecta	Diptera	Dolichopodidae	Achalcus	Achalcus flavicollis	(Meigen, 1824)	Species	Porphyrops flavicollis		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	wet/damp peat			Arthropoda																								
NBNORG0000043668	NBNSYS0100009212	Animalia	Nematoda	Adenophorea	Chromadorida	Achromadoridae	Achromadora	Achromadora ruricola	(De Man, 1880) Micoletzky, 1924	Species				Y	Y	Y	Y																																				
NBNORG0000043669	NBNSYS0100009213	Animalia	Nematoda	Adenophorea	Chromadorida	Achromadoridae	Achromadora	Achromadora terricola	(de Man, 1880) Micoletzky, 1924	Species				Y	Y	Y	Y																																				
NBNORG0000032539	NHMSYS0021052521	Animalia	Arthropoda	Maxillopoda	Siphonostomatoida	Lernaeopodidae	Achtheres	Achtheres percarum	Nordmann, 1832	Species	Actheres percarum	Y	Y	Y	Y	Y	Y																																				
NBNORG0000041023	NBNSYS0100001404	Animalia	Arthropoda	Insecta	Diptera	Limoniidae	Achyrolimonia	Achyrolimonia decemmaculata	(Loew, 1873)	Species	Limnobia decemmaculata;Limonia decemmaculata		Y	Y		Y	Y	1				saprophagous	does not feed	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, dead trunks & branches >> trunks & branches, fungal fruiting bodies	A212	coarse woody debris: c	Fagales																								
NBNORG0000010012	NBNSYS0000007625	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Acilius	Acilius canaliculatus	(Nicolai, 1822)	Species	Acilius fasciatus		Y	Y		Y	Y	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: well vegetated		acid mire: B, grazing marsh - salinity: 0, grazing marsh - status: 4	Arthropoda														NS-excludes										
NBNORG0000010013	NBNSYS0000007626	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Acilius	Acilius sulcatus	(Linnaeus, 1758)	Species	Acilius scoticus;Acilus sulcatus		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: sparsely vegetated		grazing marsh - salinity: 0, grazing marsh - status: 1	Arthropoda																								
NBNORG0000018748	NBNSYS0000027374	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Acricotopus	Acricotopus lucens	(Zetterstedt, 1850)	Species	Acricotopus coaequatus;Acricotopus lucidus;Acricotopus moturus;Acricotopus nitidicollis;Acricotopus obsepiens;Acricotopus patibilis;Acricotopus pervulsus;Chironomus coaequatus;Chironomus lucens;Chironomus lucidus;Chironomus moturus;Chironomus nitidicollis;Chironomus obsepiens;Chironomus patibilis;Chironomus pervulsus		Y	Y		Y	Y																																				
NBNORG0000086649	NHMSYS0001701871	Animalia	Mollusca	Gastropoda		Acroloxidae	Acroloxus	Acroloxus lacustris	(Linnaeus, 1758)	Species				Y		Y	Y	1				herbivore	herbivore	wetland	marshland	shallow freshwater pond >> aquatic: well vegetated		coarse woody debris: c, grazing marsh - salinity: 0, grazing marsh - status: 1	Algae										RedList_GB_post2001-LC														
NBNORG0000085517	NHMSYS0001593165	Animalia	Arthropoda	Branchiopoda	Diplostraca	Eurycercidae	Acroperus	Acroperus angustatus	Sars, 1863	Species			Y	Y		Y	Y																																				
NBNORG0000085519	NHMSYS0001593167	Animalia	Arthropoda	Branchiopoda	Diplostraca	Eurycercidae	Acroperus	Acroperus harpae	(Baird, 1835)	Species	Lynceus harpae		Y	Y		Y	Y																																				
NBNORG0000012837	NBNSYS0000012806	Animalia	Arthropoda	Insecta	Diptera	Dolichopodidae	Acropsilus	Acropsilus niger	(Loew, 1869)	Species	Chrysotus niger		Y	Y		Y	Y	8	DD; NR	DD; Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	running water		W126		Arthropoda									RedList_GB_post94-DD															
NBNORG0000043682	NBNSYS0100009268	Animalia	Arthropoda	Insecta	Hymenoptera	Braconidae	Ademon	Ademon decrescens	(Nees, 1811)	Species			Y	Y		Y	Y																																				
NBNORG0000010703	NBNSYS0000008528	Animalia	Arthropoda	Insecta	Trichoptera	Leptoceridae	Adicella	Adicella filicornis	(Pictet, 1834)	Species			Y	Y		Y	Y	16	EN; NR	EN; Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)		possible nectivore	wetland	running water	seepages		seepage (calcareous): A, seepage (stable cliff): A, seepage (woodland): A											RedList_GB_post2001-EN			NR-includes											
NBNORG0000010704	NBNSYS0000008529	Animalia	Arthropoda	Insecta	Trichoptera	Leptoceridae	Adicella	Adicella reducta	(McLachlan, 1865)	Species			Y	Y		Y	Y	1		LC	IUCN Threat listing (1)		possible nectivore	wetland	running water	flow >> slow flow		coarse woody debris: d, grazing marsh - salinity: 0, grazing marsh - status: 1											RedList_GB_post2001-LC														
NBNORG0000043683	NBNSYS0100009270	Animalia	Rotifera	Eurotatoria	Bdelloidea	Adinetidae	Adineta	Adineta barbata	Janson, 1893	Species				Y		Y	Y																																				
NBNORG0000043684	NBNSYS0100009271	Animalia	Rotifera	Eurotatoria	Bdelloidea	Adinetidae	Adineta	Adineta gracilis	Janson, 1893	Species				Y		Y	Y																																				
NBNORG0000043685	NBNSYS0100009272	Animalia	Rotifera	Eurotatoria	Bdelloidea	Adinetidae	Adineta	Adineta oculata	(Milne, 1886)	Species				Y		Y	Y																																				
NBNORG0000043686	NBNSYS0100009273	Animalia	Rotifera	Eurotatoria	Bdelloidea	Adinetidae	Adineta	Adineta tuberculosa	Janson, 1893	Species				Y		Y	Y																																				
NBNORG0000043687	NBNSYS0100009274	Animalia	Rotifera	Eurotatoria	Bdelloidea	Adinetidae	Adineta	Adineta vaga	(Davis, 1873)	Species	Adineta vaga subsp. major;Adineta vaga subsp. minor		Y	Y		Y	Y																																				
NBNORG0000011761	NBNSYS0000011587	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti	(Linnaeus in Hasselquist, 1762)	Species	Culex aegypti	Y	Y	Y		Y	Y	1				saprophagous	haematophagous	open habitats																													
NBNORG0000122317	NHMSYS0021164648	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	(Skuse, 1894)	Species		Y	Y	Y		Y	Y																																				
