informal_group	jncc_name	jncc_tvk	resolved_name	resolved_tvk	resolved_in_taxa
alga	Cosmarium sphagnicolum	NHMSYS0000601657	Cosmarium sphagnicola	NHMSYS0021895703	YES
bird	Acanthis cabaret	NHMSYS0021004312	Acanthis flammea cabaret	NHMSYS0021933619	YES
bird	Acanthis flammea	NHMSYS0021004317	Acanthis flammea flammea/rostrata	NHMSYS0021933624	YES
bird	Acanthis hornemanni	NHMSYS0021004332	Acanthis flammea exilipes/hornemanni	NHMSYS0021933634	YES
bird	Accipiter gentilis	NHMSYS0000530119	Astur gentilis	NHMSYS0021933489	YES
bird	Alaudala rufescens	NHMSYS0021275201	Alaudala cheleensis/rufescens/heinei	NHMSYS0021373129	YES
bird	Bubulcus ibis	NHMSYS0000530216	Ardea ibis	NHMSYS0021933544	YES
bird	Charadrius alexandrinus	NBNSYS0000000159	Anarhynchus alexandrinus	NHMSYS0021813951	YES
bird	Charadrius asiaticus	NHMSYS0000530273	Anarhynchus asiaticus	NHMSYS0021813961	YES
bird	Charadrius leschenaultii	NBNSYS0000000175	Anarhynchus leschenaultii	NHMSYS0021813976	YES
bird	Charadrius mongolus	NHMSYS0000530274	Anarhynchus atrifrons/mongolus	NHMSYS0021813971	YES
bird	Charadrius morinellus	NBNSYS0000000176	Eudromias morinellus	NBNSYS0000162769	YES
bird	Ixobrychus minutus	NHMSYS0000530414	Botaurus minutus	NHMSYS0021933554	YES
bony fish (Actinopterygii)	Cottus gobio	NHMSYS0000544660	Cottus perifretum	NHMSYS0020755076	YES
bony fish (Actinopterygii)	Gasterosteus gymnurus	NHMSYS0020755078	Gasterosteus aculeatus	NBNSYS0000188612	YES
clubmoss	Diphasiastrum complanatum	NHMSYS0000458106	Diphasiastrum alpinum x complanatum = D. x issleri	NBNSYS0000146189	YES
fern	Ceterach officinarum	NHMSYS0100001007	Asplenium ceterach	NBNSYS0000142464	YES
fern	Phyllitis scolopendrium	NBNSYS0000002039	Asplenium scolopendrium	NBNSYS0000142466	YES
flowering plant	Alopecurus borealis	NBNSYS0000002662	Alopecurus magellanicus	NBNSYS0200001716	YES
flowering plant	Anagallis arvensis	NBNSYS0000003943	Lysimachia arvensis	NHMSYS0021876307	YES
flowering plant	Anagallis arvensis subsp. arvensis	NBNSYS0000014076	Lysimachia arvensis	NHMSYS0021872677	YES
flowering plant	Anagallis arvensis subsp. foemina	NHMSYS0000455900	Lysimachia foemina	NHMSYS0021872662	YES
flowering plant	Anagallis tenella	NBNSYS0000003942	Lysimachia tenella	NHMSYS0100001991	YES
flowering plant	Anchusa arvensis	NHMSYS0000455907	Lycopsis arvensis	NBNSYS0000150919	YES
flowering plant	Apium graveolens subsp. graveolens	NHMSYS0021240644	Apium graveolens var. graveolens	NBNSYS0500000159	YES
flowering plant	Apium inundatum	NHMSYS0000455995	Helosciadium inundatum	NHMSYS0021871262	YES
flowering plant	Apium nodiflorum	NBNSYS0000003666	Helosciadium nodiflorum	NHMSYS0021872397	YES
flowering plant	Apium repens	NBNSYS0000003668	Helosciadium repens	NHMSYS0021873337	YES
flowering plant	Arabis glabra	NBNSYS0000002892	Turritis glabra	NBNSYS0000158729	YES
flowering plant	Arenaria serpyllifolia subsp. leptoclados	NHMSYS0000456053	Arenaria leptoclados	NHMSYS0000456046	YES
flowering plant	Armeria maritima	NHMSYS0021060385	Armeria maritima	NHMSYS0000456077	YES
flowering plant	Asperula cynanchica subsp. occidentalis	NBNSYS0000034394	Asperula cynanchica subsp. cynanchica var. densiflora	NHMSYS0021875432	YES
flowering plant	Aster linosyris	NBNSYS0000004435	Galatella linosyris	NHMSYS0021870527	YES
flowering plant	Aster tripolium	NBNSYS0000004422	Tripolium pannonicum	NHMSYS0021872072	YES
flowering plant	Bromus commutatus	NHMSYS0000456661	Bromus racemosus subsp. commutatus	NHMSYS0100000822	YES
flowering plant	Bromus sterilis	NBNSYS0000143226	Anisantha sterilis	NBNSYS0000002575	YES
flowering plant	Callitriche hamulata	NBNSYS0000042400	Callitriche brutia subsp. hamulata	NHMSYS0000456301	YES
flowering plant	Callitriche hamulata	NHMSYS0000456302	Callitriche brutia subsp. hamulata	NHMSYS0000456301	YES
flowering plant	Carex echinata x curta = C. x biharica	NHMSYS0001754464	Carex echinata x canescens = C. x biharica	NHMSYS0000456916	YES
flowering plant	Carex flava x viridula = C. x alsatica	NHMSYS0001754825	Carex flava x demissa = C. x alsatica	NBNSYS0000005424	YES
flowering plant	Carex lachenalii x curta = C. x helvola	NHMSYS0001754465	Carex lachenalii x canescens = C. x helvola	NHMSYS0000456923	YES
flowering plant	Carex paniculata x curta = C. x ludibunda	NHMSYS0001754466	Carex paniculata x canescens = C. x ludibunda	NHMSYS0000456926	YES
flowering plant	Carex riparia x rostrata	NBNSYS0500000381	Carex riparia x rostrata = C. x beckmanniana	NHMSYS0100000943	YES
flowering plant	Carex viridula subsp. brachyrrhyncha	NHMSYS0000456906	Carex lepidocarpa	NBNSYS0000143732	YES
flowering plant	Carex viridula subsp. oedocarpa	NHMSYS0000456908	Carex demissa	NHMSYS0000456842	YES
flowering plant	Carum verticillatum	NHMSYS0000456960	Trocdaris verticillata	NHMSYS0021870902	YES
flowering plant	Catapodium rigidum var. rigidum	NBNSYS0100002210	Catapodium rigidum subsp. rigidum	NHMSYS0021128365	YES
flowering plant	Centaurium scilloides	NHMSYS0000457036	Centaurium portense	NBNSYS0000143864	YES
flowering plant	Centunculus minimus	NBNSYS0000143890	Lysimachia minima	NHMSYS0021873662	YES
flowering plant	Chamerion angustifolium	NBNSYS0000003598	Chamaenerion angustifolium	NHMSYS0100001010	YES
flowering plant	Chenopodium bonus-henricus	NBNSYS0000003088	Blitum bonus-henricus	NHMSYS0021873182	YES
flowering plant	Chenopodium chenopodioides	NBNSYS0000003103	Oxybasis chenopodioides	NHMSYS0021669628	YES
flowering plant	Chenopodium glaucum	NBNSYS0000003104	Oxybasis glauca	NHMSYS0021669633	YES
flowering plant	Chenopodium hybridum	NBNSYS0000003101	Chenopodiastrum hybridum	NHMSYS0021353873	YES
flowering plant	Chenopodium murale	NBNSYS0000003099	Chenopodiastrum murale	NHMSYS0021873392	YES
flowering plant	Chenopodium polyspermum	NBNSYS0000003089	Lipandra polysperma	NHMSYS0021870862	YES
flowering plant	Chenopodium rubrum	NBNSYS0000003102	Oxybasis rubra	NHMSYS0021669623	YES
flowering plant	Chenopodium urbicum	NBNSYS0000003100	Oxybasis urbica	NHMSYS0021669643	YES
flowering plant	Clinopodium calamintha	NBNSYS0000004215	Clinopodium nepeta	NBNSYS0000144633	YES
flowering plant	Cochlearia officinalis	NBNSYS0000042402	Cochlearia officinalis	NHMSYS0000457398	YES
flowering plant	Coeloglossum viride	NHMSYS0000457408	Dactylorhiza viridis	NHMSYS0000457959	YES
flowering plant	Dactylorhiza ebudensis	NHMSYS0020110554	Dactylorhiza traunsteinerioides subsp. francis-drucei var. ebudensis	NHMSYS0021874827	YES
flowering plant	Dactylorhiza purpurella subsp. cambrensis	NHMSYS0020193660	Dactylorhiza purpurella var. cambrensis	NHMSYS0021875057	YES
flowering plant	Deschampsia flexuosa	NBNSYS0000002623	Avenella flexuosa	NHMSYS0021873492	YES
flowering plant	Deschampsia setacea	NHMSYS0000458051	Aristavena setacea	NHMSYS0021872392	YES
flowering plant	Dioscorea communis	NHMSYS0020823747	Tamus communis	NBNSYS0000002282	YES
flowering plant	Draba muralis	NBNSYS0000002866	Drabella muralis	NHMSYS0021872167	YES
flowering plant	Drosera rotundifolia x intermedia = D. x belezeana	NHMSYS0001754523	Drosera intermedia x rotundifolia = D. x eloisiana	NHMSYS0021873197	YES
flowering plant	Eleocharis palustris subsp. vulgaris	NBNSYS0000002398	Eleocharis palustris subsp. waltersii	NHMSYS0021874052	YES
flowering plant	Elytrigia atherica	NHMSYS0000458356	Elymus athericus	NHMSYS0000458335	YES
flowering plant	Elytrigia campestris	NHMSYS0000458357	Elymus repens subsp. arenosus	NHMSYS0000465599	YES
flowering plant	Elytrigia juncea	NBNSYS0000002597	Elymus junceiformis	NHMSYS0021870967	YES
flowering plant	Elytrigia repens	NHMSYS0100001391	Elymus repens	NHMSYS0000458346	YES
flowering plant	Epipactis youngiana	NHMSYS0000458462	Epipactis helleborine var. youngiana	NHMSYS0021875442	YES
flowering plant	Erophila verna	NBNSYS0000002867	Erophila verna	NHMSYS0000458582	YES
flowering plant	Euphorbia serrulata	NBNSYS0000039527	Euphorbia stricta	NHMSYS0100001505	YES
flowering plant	Festuca altissima	NBNSYS0000002511	Drymochloa sylvatica	NHMSYS0100001321	YES
flowering plant	Festuca arundinacea	NHMSYS0000458758	Schedonorus arundinaceus	NHMSYS0000463273	YES
flowering plant	Festuca gigantea	NHMSYS0000458771	Schedonorus giganteus	NHMSYS0000463274	YES
flowering plant	Festuca pratensis	NHMSYS0000458788	Schedonorus pratensis	NHMSYS0000463276	YES
flowering plant	Ficaria verna var. bulbifer	NHMSYS0100001604	Ficaria verna subsp. verna	NHMSYS0021240659	YES
flowering plant	Filago gallica	NBNSYS0000004406	Logfia gallica	NHMSYS0000460422	YES
