organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	species	synonyms	synonym_tvk_list	recommended_name_authority	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag
NBNORG0000037965	NBNSYS0000185413	Animalia	Annelida	Polychaeta	Eunicida	Dorvilleidae	Parougia	Parougia spp.							Y
NBNORG0000039074	NBNSYS0000186845	Animalia	Annelida	Polychaeta	Eunicida	Dorvilleidae	Schistomeringos	Schistomeringos spp.							Y
NBNORG0000035445	NBNSYS0000182303	Animalia	Annelida	Polychaeta	Phyllodocida	Goniadidae	Goniadella	Goniadella ? gracilis			(Verrill, 1873)				Y
NBNORG0000036071	NBNSYS0000183139	Animalia	Annelida	Polychaeta	Phyllodocida	Hesionidae	Kefersteinia	Kefersteinia sp.							Y
NBNORG0000037220	NBNSYS0000184515	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Neanthes	Neanthes cf. flavipes			Ehlers, 1868				Y
NBNORG0000039582	NBNSYS0000187494	Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	Syllides	Syllides spp.							Y
NBNORG0000037628	NBNSYS0000184992	Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	Opisthodonta	Opisthodonta n. sp.							Y
NBNORG0000039382	NBNSYS0000187214	Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	Sphaerosyllis	Sphaerosyllis n. sp.							Y
NBNORG0000034826	NBNSYS0000181564	Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	Ehlersia	Ehlersia sp.							Y
NBNORG0000037321	NBNSYS0000184635	Animalia	Annelida	Polychaeta	Phyllodocida	Nephtyidae	Nephtys	Nephtys n. sp.							Y
NBNORG0000035137	NBNSYS0000181924	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eulalia	Eulalia n. sp.							Y
NBNORG0000037399	NBNSYS0000184730	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Notophyllum	Notophyllum cf. americanum			Verrill, 1885				Y
NBNORG0000035222	NBNSYS0000182045	Animalia	Annelida	Polychaeta	Sabellida	Fabriciidae	Fabriciola	Fabriciola cf. berkeleyi			Banse, 1956				Y
